Monthly subscription fee: $0–30 (inclusive)
Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
API cost/mo = this row's adopted monthly allowance priced at the provider's official metered rates (same standard workload weighting); the bracketed figure is that amount ÷ the monthly fee, i.e. how many times the subscription fee the same tokens would cost at list price. Below 1× means the subscription costs more than buying the same tokens on the API. * = the rate is not a first-party rate card (vendor page is JS-rendered or the model is open-weight; a named gateway or tracker is used, low confidence); ‡ = this row's allowance was itself derived from a sibling model by a list-price ratio, so the figure repeats that row and is not independent evidence for this model. - = no defensible public rate found; left blank rather than invented. Cache writes are not modeled, so the figure is a floor.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee  Served model                  Monthly tokens (B)  USD/MTok  API cost/mo      Confidence
---  ----------------------------------  -----------  ----------------------------  ------------------  --------  ---------------  ----------
1    OpenCode Go                         USD 10       Muse Spark 1.3 Contributor    12.5                0.0008    -                medium
2    OpenCode Go                         USD 10       Muse Spark 1.2 Contributor    12.5                0.0008    60 (6×)*         medium
3    OpenCode Go                         USD 10       MiMo V2.5                     8.9286              0.00112   158 (15.75×)*    medium
4    GLM Coding Pro (v2 ¥149) Off-peak   CNY 149      GLM 5.3 Flash                 7.699               0.00285   264 (11.99×)     high
5    ChatGPT Plus                        USD 20       GPT 5.6 Luna                  7.511               0.00266   210 (10.52×)     high
6    GLM Coding Pro (v2 ¥149) Midpoint   CNY 149      GLM 5.3 Flash                 5.774               0.00381   198 (8.99×)      high
7    Command Code GOAT                   USD 10       MiMo V2.5                     4.4643              0.00224   79 (7.88×)*      medium
8    Command Code GOAT                   USD 10       DeepSeek V4 Flash             4.3274              0.00231   120 (12×)        medium
9    Ollama Pro                          USD 20       DeepSeek V4 Flash             4.3274              0.00462   120 (6×)         medium
10   Command Code GOAT                   USD 10       Muse Spark 1.3 Contributor    4.1667              0.0024    -                medium
11   Command Code GOAT                   USD 10       Muse Spark 1.2 Contributor    4.1667              0.0024    20 (2×)*         medium
12   Claude Pro                          USD 20       Claude Sonnet 5               3.97                0.00504   1,084 (54.19×)‡  medium
13   GLM Coding Pro (v2 ¥149) Peak       CNY 149      GLM 5.3 Flash                 3.85                0.00571   132 (5.99×)      high
14   OpenCode Go                         USD 10       LongCat 2.0                   3.6364              0.00275   149 (14.94×)*    medium
15   GLM Coding Pro (v2 ¥149) Off-peak   CNY 149      GLM 5.3                       2.54                0.00865   759 (34.55×)     high
16   OpenCode Go                         USD 10       DeepSeek V4 Flash             2.1637              0.00462   60 (6×)          medium
17   GLM Coding Pro (v2 ¥149) Midpoint   CNY 149      GLM 5.3                       1.905               0.01154   570 (25.91×)     high
18   MiniMax Token Plan Max              CNY 119      MiniMax M3                    1.8                 0.00975   124 (7.09×)      high
19   Command Code GOAT                   USD 10       Hy3                           1.7873              0.0056    19 (1.91×)*      medium
20   Ollama Pro                          USD 20       GLM 5.3 Flash                 1.7531              0.01141   60 (3×)          medium
21   MiniMax Token Plan Plus (Global)    USD 22       MiniMax M3                    1.7                 0.01294   118 (5.34×)      high
22   MiniMax Token Plan Plus (Global)    USD 22       MiniMax M2.7                  1.7                 0.01294   118 (5.34×)‡     medium
23   Claude Pro                          USD 20       Claude Opus 4.8               1.588               0.01259   1,084 (54.19×)   medium
