plan_id,plan,channel,fee_usd,group,multiple,cost_usd_month,models,model_count_in_group,inherited,third_party_rate,plan_model_count,plan_value_group_count,plan_varies,plan_best_multiple,plan_best_model,plan_worst_multiple,plan_worst_model
claude_pro,Claude Pro,Anthropic,20.0,shared,54.19,1083.81,Claude Opus 4.8 | Claude Sonnet 5,2,False,False,2,1,False,54.19,Claude Opus 4.8,54.19,Claude Sonnet 5
claude_max_20x,Claude Max 20x (9/14+),Anthropic,200.0,shared,53.58,10715.25,Claude Opus 4.8 | Claude Opus 5 | Claude Sonnet 5,3,False,False,4,2,False,53.58,Claude Opus 5,8.24,Claude Fable 5
claude_max_20x,Claude Max 20x (9/14+),Anthropic,200.0,exception,8.24,1648.51,Claude Fable 5,1,False,False,4,2,False,53.58,Claude Opus 5,8.24,Claude Fable 5
claude_max_5x,Claude Max 5x (9/14+),Anthropic,100.0,shared,53.58,5357.62,Claude Opus 5 | Claude Sonnet 5,2,False,False,3,2,False,53.58,Claude Opus 5,12.61,Claude Fable 5
claude_max_5x,Claude Max 5x (9/14+),Anthropic,100.0,exception,12.61,1260.58,Claude Fable 5,1,False,False,3,2,False,53.58,Claude Opus 5,12.61,Claude Fable 5
glm_coding_pro_cn_old_offpeak,GLM Coding Pro (老客 ¥149) 闲时,Zhipu,21.98,shared,34.55,759.46,GLM 5.3,1,False,False,2,2,False,34.55,GLM 5.3,11.99,GLM 5.3 Flash
glm_coding_pro_cn_old_offpeak,GLM Coding Pro (老客 ¥149) 闲时,Zhipu,21.98,exception,11.99,263.5,GLM 5.3 Flash,1,False,False,2,2,False,34.55,GLM 5.3,11.99,GLM 5.3 Flash
chatgpt_pro_20x,ChatGPT Pro 20x,OpenAI,200.0,shared,33.63,6726.72,GPT 5.5 | GPT 5.6 Sol | GPT 5.6 Terra,3,False,False,4,2,False,33.63,GPT 5.6 Sol,21.03,GPT 5.6 Luna
chatgpt_pro_20x,ChatGPT Pro 20x,OpenAI,200.0,exception,21.03,4206.22,GPT 5.6 Luna,1,False,False,4,2,False,33.63,GPT 5.6 Sol,21.03,GPT 5.6 Luna
glm_coding_pro_cn_old_mid,GLM Coding Pro (老客 ¥149) 中间值,Zhipu,21.98,shared,25.91,569.6,GLM 5.3,1,False,False,2,2,False,25.91,GLM 5.3,8.99,GLM 5.3 Flash
